Product ID,Category,Product Description,Quantity Type,Case Size,Price,Quantity,Favourite
115669521,Alcohol,Tennents Bavarian Pilsner 4x440ml (4.7%),CS,6,28.86,,
114600215,Sugar & Baking,Tate & Lyle Granulated Sugar 1kg,CS,15,13.5,,
113341477,Protein & Functional Drinks,Grenade Protein Shake Fudge Brownie 330ml,CS,8,12,,
115334908,Soft Drinks & Juice,M Cherry Cola 2l,CS,8,4.8,,
114761035,Protein & Functional Drinks,Lipton Kombucha Mango & Passionfruit 4x250ml,CS,6,12.57,,
114745035,Laundry & Fabric Care,M Summer Burst Fabric Conditioner 40W 1000ml,CS,8,9.92,,
115254932,"Condiments, Sauces & Chutneys",(B) Rollover Mustard 10x1l,CS,10,43.1,,
114714562,Protein & Functional Drinks,Rubicon Spring Still Vitamin Mango Passion 500ml,CS,12,9.47,,
106239458,Ready Meals & Prepared Food,M Sausage Casserole 500g,CS,6,6.6,,
114117805,Soft Drinks & Juice,Bigga Black Grape 600ml,CS,12,11.04,,
112710947,"Condiments, Sauces & Chutneys",M Best Jalapeno Chilli Jam Chutney 215g,CS,6,7.2,,
110462062,Alcohol,M Dishwasher Cleaner Original 250ml,CS,7,7,,
106368014,Cleaning Tools & Accessories,M Savers Sponge Scourers 10pk,CS,10,3.2,,
115338440,Alcohol,Shades The Originals 150g,CS,24,25.2,,
113823038,"Tea, Coffee & Sweeteners",Splenda Sweet Mini 100pk,CS,12,12.6,,
108407241,"Condiments, Sauces & Chutneys",M Best Strawberry Conserve 340g,CS,6,8.4,,
112453856,"Condiments, Sauces & Chutneys",M Green Pesto Microwave Pasta 200g,CS,9,8.55,,
115629001,Protein & Functional Drinks,Water Junkie Reishi Rhubarb Rose & Vanilla 250ml,CS,12,13.2,,
114714538,Soft Drinks & Juice,Rubicon Spring Vits Black Cherry Pomegranate 500ml,CS,12,9.47,,
114117928,Soft Drinks & Juice,Bigga Pineapple 600ml,CS,12,11.04,,
114116685,Soft Drinks & Juice,Bigga Fruit Punch 600ml,CS,12,11.04,,
113771397,"Rice, Pasta & Noodles",M Savers Instant Curry Noodles 65g,CS,18,4.68,,
114624719,Soft Drinks & Juice,Pepsi Cherry 330ml,CS,24,12,,
106396525,Alcohol,M Washing Up Liquid Original 450ml,CS,12,5.76,,
115165075,Energy Drinks,Oxyshred Energy Passionfruit 355ml,CS,12,10.5,,
104582391,Breakfast Cereals & Muesli,M Savers Muesli 1kg,CS,6,10.5,,
114774223,Alcohol,Boost Energy Original 4x250ml,CS,6,8.7,,
104006757,Soft Drinks & Juice,Lipton Ice Tea Lemon 500ml,CS,12,10.05,,
112710971,"Condiments, Sauces & Chutneys",M Best Caramelised Balsamic Onion Chutney 205g,CS,6,7.2,,
115310623,Protein & Functional Drinks,Purdeys Orange & Mango 4x250ml,CS,6,13,,
115629124,Protein & Functional Drinks,Water Junkie Lions Mane Tangerine & Citrus 250ml,CS,12,13.2,,
113759945,Snacks & Crisps,M Giant Cheese Puffs 125g,CS,12,8.4,,
113582191,Protein & Functional Drinks,Fix8 Sicilian Citrus Kombucha 250ml,CS,12,9.4,,
115255986,"Condiments, Sauces & Chutneys",(B) Rollover Tomato Ketchup 10x1l,CS,10,43.1,,
113404423,Soft Drinks & Juice,Diet Coke 18x330ml,CS,1,5.2,,
113404431,Soft Drinks & Juice,Coca Cola Zero 18x330ml,CS,1,5.2,,
113355211,Protein & Functional Drinks,Grenade Protein Shakes White Chocolate 330ml,CS,8,12,,
115467647,Protein & Functional Drinks,Huel Daily Pineapple & Mango Multi-Vit Drink 330ml,CS,12,13.92,,
111117818,Energy Drinks,Carabao Energy Drink Mixed Berry 330ml,CS,12,6.6,,
115329447,Soft Drinks & Juice,Pepsi Max Caffeine Free 500ml,CS,12,9.48,,
115363442,Soft Drinks & Juice,M Pink Lemonade 2l,CS,8,5.2,,
115338001,Energy Drinks,Monster Rossi Zero Sugar 500ml,CS,12,15.6,,
115467671,Protein & Functional Drinks,Huel Daily Cherry & R/berry Multi-Vit Drink 330ml,CS,12,13.92,,
105761148,"Rice, Pasta & Noodles",M Straight to Wok Medium Noodles 2x150g,CS,6,4.2,,
113685430,"Rice, Pasta & Noodles",M Long Grain Boil in The Bag Rice 4x125g,CS,12,9,,
111181166,Pet Food,M Dog Food in Gravy 12x100g,CS,4,9.32,,
115396877,Alcohol,Sierra Tequila Blanco 50cl (35%),CS,6,78,,
115197237,Soft Drinks & Juice,Capri-Sun Cherry 330ml,CS,15,11.55,,
113072385,Energy Drinks,Red Bull Sugar Free 12x250ml,CS,2,22.36,,
115165112,Energy Drinks,Oxyshred Energy Kiwi Strawberry 355ml,CS,12,10.5,,
113582254,Alcohol,Fix8 Ginger Turmeric Kombucha 250ml,CS,12,9.4,,
104558623,"Condiments, Sauces & Chutneys",M Honey & Mustard 495g,CS,6,6.6,,
115397001,Alcohol,Sierra Tequila Reposado 50cl (35%),CS,6,78,,
105517858,Other Grocery,M Lime Scale Prevent Tablets 15pk,CS,5,5,,
115484156,Soft Drinks & Juice,Mogu Mogu Nata De Coco Drink Mango Flavour 320ml,CS,12,8.65,,
105661841,Other Grocery,M Cous Cous 500g,CS,5,3.9,,
105515238,Other Grocery,M Macaroni Cheese 395g,CS,24,19.2,,
115485386,Soft Drinks & Juice,Mogu Mogu Nata De Coco Drink Lychee Flavour 320ml,CS,12,8.65,,
115410595,"Rice, Pasta & Noodles",Itsu Chickn Ramen Instant Noodles & Broth Pot 64g,CS,6,8.4,,
115280364,Soft Drinks & Juice,Dr. Oetker Chocolatey Sprinkles Mix 4 Cell 103g,CS,4,6.8,,
115209111,Alcohol,Nescafe Original Instant Coffee 190g,CS,10,48.2,,
112639773,Soft Drinks & Juice,Mars Triple Treat Fruit Nut & Chocolate 40g,CS,18,12.6,,
113346753,Other Grocery,Urban Fruit Magnificent Mango 100g,CS,6,11.7,,
113724486,Household Cleaning,Persil Bio Liquid Detergent 35W 945ml,CS,6,31.5,,
113709358,Household Cleaning,Persil Non Bio Liquid Detergent 35 Washes 945ml,CS,6,31.5,,
109311419,Other Grocery,Milka Bubbly White 95g,CS,15,17.4,,
114404020,Other Grocery,M Red Food Colouring 38ml,CS,8,8.8,,
113456047,Other Grocery,Bear Fruit Splits Strawberry & Apple 5x20g,CS,8,14,,
112639837,Soft Drinks & Juice,Snickers Triple Treat Fruit Nut & Chocolate 40g,CS,18,10.8,,
105208158,"Condiments, Sauces & Chutneys",Crucials Garlic Mayo 500g,CS,12,14.76,,
110507697,Alcohol,Merrydown Original Medium Cider 750ml (6.8%),CS,6,12,,
115346503,Other Grocery,Webbox Tasty Sticks With Chicken & Liver 7pk,CS,20,19.2,,
115118324,Sugar & Baking,Tate And Lyle White Granulated Sugar 5kg,CS,1,4.4,,
113045125,Other Grocery,Spontex Microfibre Cloth 4pk,CS,8,11,,
113480506,Other Grocery,M Sweetcorn in Water 326g,CS,12,7.2,,
115578347,Other Grocery,Tate & Lyle Fairtrade Demerara Cubes 500g,CS,10,13.7,,
111697437,Cleaning Tools & Accessories,Spontex Tough Scourer 4pk,CS,12,9,,
115578793,Sugar & Baking,Tate & Lyle Fairtrade Golden Caster Sugar 1kg,CS,10,16,,
114428937,Other Grocery,C4 Millions Strawberry 500ml,CS,12,7.5,,
114197921,Alcohol,Sellotape Original Golden each,CS,12,10.8,,
114813501,Sugar & Baking,Tate & Lyle Jam Sugar 1kg,CS,10,19,,
114757124,"Condiments, Sauces & Chutneys",Seabrook Cheddar & Chutney 125g,CS,8,8.8,,
115595551,Snacks & Crisps,Space Raiders Beef Crisps 70g £1.35 PMP,CS,20,13.5,,
115578603,Sugar & Baking,Tate & Lyle Fairtrade White Sugar Cubes 500g,CS,10,10.3,,
115578081,Sugar & Baking,Tate & Lyle Caster Sugar 500g,CS,10,7.5,,
115577993,Sugar & Baking,Tate & Lyle Caster Sugar 2kg,CS,6,15.78,,
113303913,Cleaning Tools & Accessories,Spontex Mosaik Non Scratch Scourers 2pk,CS,10,4.5,,
115578451,Other Grocery,Tate & Lyle Sucralose 300 Tablets,CS,12,11.4,,
115352111,Soft Drinks & Juice,Diet Coke Caffeine Free 500ml,CS,12,10.44,,
111505651,Other Grocery,M Pink & White Mini Mallows,CS,7,7,,
107020618,"Condiments, Sauces & Chutneys",Heinz Tartare Sauce 200x10ml,CS,200,16,,
113046531,Other Grocery,Spontex Mosaik Washups 2pk,CS,10,4.5,,
115646080,Sugar & Baking,Tate & Lyle Granulated Sugar 500g,CS,10,5,,
115578283,Other Grocery,Tate & Lyle Fairtrade Demerara 1kg,CS,10,18.6,,
114428865,Other Grocery,C4 Millions Bubblegum 500ml,CS,12,7.5,,
115578232,Sugar & Baking,Tate & Lyle Icing Sugar 1kg,CS,10,16,,
111947301,Other Grocery,Pip & Nut Smooth Peanut Butter 300g,CS,6,16.08,,
115456577,Other Grocery,Beatbox Fruit Punch 330ml,CS,15,32.25,,
115456454,Other Grocery,Beatbox Juicy Mango 330ml,CS,15,32.25,,
115456104,Other Grocery,Beatbox Blue Razz 330ml,CS,15,32.25,,
115578646,Other Grocery,Tate & Lyle Fairtrade Demerara 500g,CS,10,10,,
114908404,Alcohol,Moth Mojito 200ml (10%),CS,12,36,,
115386521,Other Grocery,Schwartz Rosas Thai Chicken Satay Recipe Mix 30g,CS,12,7.65,,
115368008,Other Grocery,Schwartz X Las Iguanas Chilli Honey Chicken 35g,CS,12,7.65,,
113182795,Alcohol,Moth Pina Colada 200ml (10%),CS,12,36,,
100513049,"Condiments, Sauces & Chutneys",Sharwoods Tikka Masala Sauce 420g,CS,6,10.8,,
111730161,Soft Drinks & Juice,Pepsi Max Caffeine Free 8x330ml,CS,3,8.5,,
114831283,Soft Drinks & Juice,R Whites Lemonade Regular 2l,CS,8,8.48,,
113873300,Other Grocery,M Apple Juice From Concentrate 1l,CS,12,9,,
115045671,Other Grocery,Oasis Summer Fruit 1.5l,CS,12,14,,
115369107,Other Grocery,Schwartz X Las Iguanas Bahian Coconut Curry 25g,CS,12,7.65,,
105609998,Other Grocery,Sharwoods Butter Chicken 420g,CS,6,10.8,,
113182752,Alcohol,Moth Margarita 125ml (14.9%),CS,12,36,,
115367970,Other Grocery,Schwartz X The Real Greek Chicken Gyros Wrap 20g,CS,12,7.65,,
114086640,Other Grocery,Boost Sport Mixed Berry 500ml,CS,12,5.5,,
115367793,"Condiments, Sauces & Chutneys",Schwartz Cheddar Cheese Sauce Mix 38g,CS,12,7.2,,
115045735,Other Grocery,Oasis Citrus Punch 1.5l,CS,12,14,,
113047631,Sugar & Baking,Allinsons Strong White Bread Flour 1kg,CS,10,11,,
114902977,Alcohol,Moth Passion Fruit Martini 125ml (14.9%),CS,12,36,,
105714616,Other Grocery,M Olive Oil & Seasalt Croutons 95g,CS,8,4.4,,
115367734,"Condiments, Sauces & Chutneys",Schwartz Creamy Pepper Sauce 25g,CS,12,7.2,,
109277169,"Rice, Pasta & Noodles",Ambrosia Rice Pudding 150g,CS,6,4.68,,
109715641,Soft Drinks & Juice,Diet Coke No Caffeine 2l,CS,6,9.72,,
114810757,Protein & Functional Drinks,Huel Choc Fudge Brownie Complete Nutrition Bar 55g,CS,12,13.5,,
109282419,Other Grocery,Ambrosia Devon Custard 150g,CS,12,9.36,,
114732701,"Rice, Pasta & Noodles",Bens Street Food Chinese Chow Mein Noodles 250g,CS,6,13.5,,
114813392,Protein & Functional Drinks,Huel Choc Caramel Complete Nutrition Bar 55g,CS,12,13.5,,
115074317,Soft Drinks & Juice,M Free From Chocolate Digestives 166g,CS,8,11.28,,
115372251,"Rice, Pasta & Noodles",Pizza Express Garlic And Herb Pasta Bake 35g,CS,12,7.65,,
115367890,Other Grocery,Schwartz Authentic Mix Chilli Con Carne 41g,CS,12,7.2,,
111637371,Other Grocery,The Spicy Tailor Keralan Coconut Curry 225g,CS,5,14.75,,
115189173,Snacks & Crisps,Thats Nuts Wotsits Really Cheesy 160g,CS,8,9.3,,
105149637,Other Grocery,M Indian Tonic Water & Lemon 1l,CS,12,6.72,,
115454871,"Rice, Pasta & Noodles",M Micro Rice Basmati 250g,CS,18,10.08,,
111730090,Soft Drinks & Juice,Pepsi Max Caffeine Free 2l,CS,8,9.9,,
109616749,Other Grocery,Vimto 500ml,CS,12,6.5,,
115285173,Other Grocery,Allinsons Easy Bake Yeast Sachets 6 Pack 42g,CS,12,12.6,,
115399242,Energy Drinks,Red Bull Energy Drink 2x250ml,CS,12,23.92,,
111777285,Soft Drinks & Juice,Lucozade Energy Zero Pink Lemonade 900ml,CS,12,14.64,,
115232899,Alcohol,Estrella 4x440ml (0%),CS,6,20.4,,
115410624,"Rice, Pasta & Noodles",Itsu Satay Style Instant Noodles & Broth Pot 66g,CS,6,8.4,,
115410536,"Rice, Pasta & Noodles",Itsu Katsu Curry Instant Noodles & Broth Pot 63g,CS,6,8.4,,
115410683,"Rice, Pasta & Noodles",Itsu Chilli Miso Instant Noodles & Broth Pot 65g,CS,6,8.4,,
114200490,Household Cleaning,Astonish Kitchen Cleaner Zesty Lemon 750ml,CS,12,9.36,,
100216159,"Tea, Coffee & Sweeteners",Splenda Sugar Alternative Granulated 125g,CS,6,13.2,,
107233541,Other Grocery,Pataks Pappadums 8pk,CS,8,7,,
115578179,Sugar & Baking,Tate & Lyle Fairtrade Golden Granulated Sugar 1kg,CS,10,18,,
115423601,Other Grocery,Ipro Hydrate Berry 500ml,CS,12,10.32,,
114871322,Snacks & Crisps,Sephra Luxury Toffee Popcorn 200g,CS,12,14.28,,
115418458,Other Grocery,Dettol Anti-Bacterial Surface Wipes Large 72pk,CS,6,12,,
115273771,Other Grocery,Dr. Oetker Rainbow Birthday Candles 12pk,CS,10,11,,
115319505,Alcohol,Red Bull Winter 2025 Fuji Apple & Ginger 250ml,CS,12,12.38,,
115053954,Other Grocery,Nutmeg Home Essentials Food Storage Set 3x1l,CS,10,7,,
104567132,Household Cleaning,M Dishwasher Salt 2kg,CS,6,6,,
115455101,"Rice, Pasta & Noodles",M Pilau Micro Rice 250g,CS,18,10.08,,
115367769,Ready Meals & Prepared Food,Schwartz Authentic Mix Chicken Casserole 36g,CS,12,7.2,,
111697867,Alcohol,Ritter Sport Rum Raisins & Hazelnuts 100g,CS,12,14.4,,
111697808,Other Grocery,Ritter Sport Marzipan 100g,CS,12,14.4,,
113371297,Other Grocery,Bud Light 18x440ml,CS,1,10.9,,
115206480,Other Grocery,Pritt Stick 43g,CS,15,25.8,,
115175994,Other Grocery,Ritter Sport Pistachio 100g,CS,12,16.08,,
115231749,Other Grocery,Febreze Fabric Refresher Spray Cotton Fresh 385ml,CS,12,23.64,,
113930909,Other Grocery,Ritter Sport Praline 100g,CS,13,15.6,,
112610022,Snacks & Crisps,Ritter Sport Dark Whole Hazelnuts 100g,CS,10,13.4,,
115410763,Other Grocery,Pampers Pants Nappies Pull-On Size 8 Extra 14pk,CS,4,17,,
113074364,Energy Drinks,Red Bull Energy Drink 12x250ml,CS,2,24,,
115411758,Other Grocery,Hi-Chew Mango 50g,CS,15,8.85,,
115411897,Other Grocery,Hi-Chew Blue Raspberry 50g,CS,15,8.85,,
115409084,Other Grocery,Pampers Pants Nappies Pull-On Size7 Plus 16pk,CS,4,17,,
115181884,Other Grocery,Cadbury Dairy Milk Biscoff 95g £1.95 PMP,CS,21,25.62,,
115335151,Other Grocery,Sure Invisible Ice Fresh 300ml,CS,6,11.52,,
115456391,Snacks & Crisps,Nik Naks Nice N Spicy Crisps 75g £1.35 PMP,CS,20,16.4,,
115173796,Snacks & Crisps,M Best Spicy Prawn Cocktail Cut Crisps 125g,CS,12,11.04,,
115524517,Other Grocery,Heinz Cream of Chicken Soup 400g,CS,12,12.7,,
104928031,Other Grocery,Carrs Selection Carton 200g,CS,6,15.66,,
114142971,Other Grocery,Nairns Mini Oatcakes 150g,CS,8,8.4,,
115267151,Alcohol,Gordons Pink Gin 35cl,CS,6,52.2,,
112802163,Other Grocery,McVities Digestives Milk Choc Twin Pack 2x266g,CS,6,15.3,,
109333651,Other Grocery,Jacobs Biscuits for Cheese 300g,CS,10,31.5,,
115524381,Other Grocery,Heinz Cream of Tomato Soup 400g,CS,12,12.7,,
115524445,Other Grocery,Heinz Classic Vegetable Soup 400g,CS,12,12.7,,
112802180,Other Grocery,Mcvities Digestives Dark Choc Twin Pack 2x266g,CS,6,15.3,,
115531590,Other Grocery,Heinz Lentil Soup 400g,CS,12,12.7,,
